#   N_BLOCK:  ACCEPTANCE:
          59    0.478946
          60    0.478881
          61    0.478819
          62    0.478755
          63    0.478695
          64    0.478639
          65    0.478572
          66    0.478509
          67    0.478453
          68    0.478395
          69    0.478333
          70    0.478273
          71    0.478213
          72    0.478151
          73    0.478087
          74    0.478026
          75    0.477959
          76    0.477899
          77    0.477837
          78    0.477779
          79    0.477719
          80    0.477662
          81    0.477601
          82    0.477541
          83    0.477482
          84    0.477421
          85    0.477359
          86    0.477304
          87    0.477246
          88    0.477185
          89    0.477126
          90    0.477066
          91    0.477008
          92    0.476947
          93    0.476886
          94    0.476827
          95    0.476763
          96    0.476712
          97    0.476656
          98    0.476594
          99    0.476536
         100    0.476481
           1     0.47634
           2    0.476273
           3    0.476208
           4    0.476138
           5    0.476065
           6    0.475993
           7     0.47592
           8    0.475851
           9    0.475785
          10    0.475716
          11    0.475647
          12    0.475576
          13    0.475506
          14    0.475437
          15    0.475368
          16    0.475297
          17    0.475225
          18    0.475156
          19    0.475091
          20    0.475017
          21    0.474947
          22    0.474879
          23    0.474808
          24    0.474741
          25    0.474675
          26    0.474611
          27    0.474545
          28    0.474479
          29     0.47441
          30    0.474345
          31     0.47428
          32    0.474217
          33    0.474149
          34    0.474083
          35    0.474014
          36    0.473947
          37    0.473879
          38    0.473812
          39    0.473742
          40    0.473679
          41    0.473612
          42    0.473546
          43    0.473481
          44    0.473417
          45    0.473353
          46    0.473288
          47    0.473226
          48    0.473163
          49    0.473098
          50    0.473033
          51     0.47297
          52    0.472902
          53    0.472839
          54    0.472773
          55    0.472707
          56     0.47264
          57    0.472571
          58    0.472507
          59    0.472448
          60    0.472383
          61    0.472321
          62     0.47226
          63    0.472197
          64    0.472137
          65    0.472076
          66    0.472013
          67    0.471947
          68    0.471884
          69    0.471821
          70    0.471759
          71    0.471699
          72    0.471633
          73     0.47157
          74    0.471509
          75    0.471449
          76    0.471387
          77    0.471323
          78    0.471262
          79      0.4712
          80    0.471134
          81    0.471072
          82    0.471013
          83     0.47095
          84    0.470888
          85    0.470827
          86     0.47077
          87     0.47071
          88    0.470648
          89    0.470587
          90    0.470529
          91    0.470466
          92    0.470404
          93    0.470344
          94    0.470287
          95    0.470228
          96    0.470172
          97    0.470111
          98    0.470051
          99    0.469991
         100    0.469931
           1    0.469782
           2    0.469706
           3    0.469635
           4    0.469561
           5    0.469485
           6    0.469412
           7    0.469339
           8     0.46927
           9    0.469199
          10     0.46913
          11    0.469059
          12    0.468987
          13    0.468915
          14    0.468845
          15    0.468773
          16    0.468701
          17    0.468628
          18    0.468558
          19    0.468489
          20    0.468414
          21    0.468342
          22    0.468268
          23      0.4682
          24    0.468129
          25     0.46806
          26    0.467986
          27    0.467915
          28    0.467846
          29    0.467779
          30    0.467708
          31     0.46764
          32     0.46757
          33    0.467499
          34     0.46743
          35    0.467358
          36    0.467288
          37    0.467219
          38    0.467148
          39    0.467083
          40    0.467016
          41    0.466948
          42    0.466879
          43    0.466807
          44    0.466743
          45    0.466672
          46    0.466603
          47    0.466535
          48     0.46647
          49    0.466406
          50    0.466337
          51     0.46627
          52    0.466203
          53    0.466135
          54    0.466068
          55    0.466001
          56    0.465933
          57    0.465869
          58    0.465805
          59    0.465743
          60    0.465679
          61    0.465614
          62    0.465549
          63    0.465484
          64    0.465419
          65    0.465352
          66    0.465289
          67     0.46522
          68    0.465156
          69    0.465093
          70    0.465027
          71    0.464958
          72    0.464893
          73    0.464829
          74    0.464762
          75    0.464695
          76     0.46463
          77    0.464567
          78    0.464503
          79    0.464438
          80    0.464378
          81    0.464316
          82    0.464253
          83     0.46419
          84    0.464124
          85     0.46406
          86    0.463993
          87    0.463928
          88    0.463864
          89    0.463803
          90    0.463739
          91    0.463676
          92    0.463615
          93     0.46355
          94     0.46349
          95    0.463427
          96    0.463365
          97    0.463299
          98    0.463233
          99    0.463169
         100    0.463109
           1    0.462962
           2    0.462888
           3    0.462815
           4    0.462739
           5    0.462663
           6    0.462589
           7    0.462517
           8    0.462446
           9    0.462377
          10    0.462304
          11    0.462227
          12    0.462155
          13    0.462081
          14     0.46201
          15    0.461938
          16    0.461863
          17    0.461789
          18     0.46172
          19    0.461651
          20    0.461581
          21    0.461509
          22    0.461437
          23    0.461365
          24    0.461292
          25    0.461221
          26     0.46115
          27    0.461078
          28    0.461011
          29     0.46094
          30    0.460868
          31    0.460795
          32    0.460725
          33    0.460652
          34    0.460583
          35    0.460513
          36    0.460444
          37     0.46037
          38    0.460294
          39    0.460221
          40    0.460149
          41    0.460075
          42    0.460004
          43    0.459931
          44    0.459862
          45    0.459795
          46    0.459727
          47    0.459658
          48    0.459586
          49    0.459514
          50    0.459444
          51    0.459373
          52    0.459306
          53     0.45924
          54     0.45917
          55    0.459102
          56    0.459036
          57    0.458971
          58    0.458901
          59    0.458834
          60    0.458765
          61    0.458697
          62     0.45863
          63    0.458561
          64    0.458489
          65    0.458421
          66    0.458354
          67    0.458289
          68    0.458223
          69    0.458156
          70    0.458089
          71    0.458022
          72    0.457957
          73    0.457891
          74    0.457824
          75    0.457758
          76    0.457691
          77    0.457626
          78    0.457561
          79    0.457496
          80    0.457431
          81    0.457368
          82    0.457301
          83    0.457233
          84    0.457168
          85      0.4571
          86    0.457036
          87    0.456973
          88    0.456908
          89    0.456843
          90    0.456777
          91     0.45671
          92    0.456645
          93    0.456578
          94    0.456511
          95     0.45645
          96    0.456386
          97    0.456321
          98    0.456257
          99    0.456195
         100    0.456132
           1    0.455979
           2    0.455904
           3    0.455827
           4    0.455755
           5    0.455683
           6     0.45561
           7    0.455536
           8    0.455464
           9    0.455385
          10    0.455313
          11    0.455237
          12     0.45516
          13    0.455086
          14    0.455012
          15    0.454932
          16    0.454855
          17    0.454779
          18    0.454703
          19    0.454632
          20    0.454558
          21    0.454487
          22    0.454411
          23    0.454336
          24    0.454263
          25     0.45419
          26    0.454114
          27    0.454042
          28    0.453971
          29    0.453897
          30    0.453823
          31    0.453749
          32    0.453673
          33      0.4536
          34    0.453529
          35     0.45346
          36     0.45339
          37    0.453319
          38    0.453246
          39    0.453174
          40    0.453103
          41    0.453032
          42     0.45296
          43    0.452889
          44    0.452817
          45    0.452747
          46    0.452677
