#   N_BLOCK:  ACCEPTANCE:
          69    0.465101
          70    0.465035
          71    0.464968
          72    0.464903
          73    0.464838
          74    0.464775
          75    0.464708
          76    0.464643
          77    0.464578
          78    0.464513
          79    0.464448
          80    0.464383
          81    0.464318
          82    0.464254
          83    0.464189
          84    0.464125
          85    0.464061
          86    0.463998
          87    0.463933
          88    0.463869
          89    0.463807
          90    0.463746
          91    0.463685
          92    0.463623
          93    0.463559
          94    0.463493
          95     0.46343
          96    0.463367
          97    0.463304
          98    0.463242
          99     0.46318
         100    0.463117
           1    0.463011
           2    0.462936
           3    0.462859
           4    0.462785
           5    0.462711
           6    0.462636
           7    0.462562
           8    0.462487
           9    0.462413
          10    0.462339
          11    0.462263
          12    0.462189
          13    0.462115
          14    0.462042
          15    0.461969
          16    0.461892
          17    0.461817
          18    0.461745
          19    0.461674
          20      0.4616
          21    0.461529
          22    0.461455
          23     0.46138
          24    0.461306
          25    0.461234
          26    0.461161
          27    0.461089
          28    0.461016
          29    0.460945
          30    0.460872
          31    0.460797
          32    0.460724
          33    0.460654
          34    0.460583
          35    0.460513
          36    0.460441
          37    0.460369
          38    0.460298
          39    0.460229
          40    0.460157
          41    0.460085
          42    0.460015
          43    0.459943
          44    0.459871
          45      0.4598
          46     0.45973
          47    0.459659
          48    0.459589
          49    0.459519
          50     0.45945
          51    0.459378
          52    0.459307
          53    0.459237
          54    0.459166
          55    0.459096
          56    0.459027
          57    0.458959
          58    0.458889
          59    0.458821
          60    0.458754
          61    0.458688
          62    0.458618
          63    0.458551
          64    0.458482
          65    0.458415
          66    0.458345
          67    0.458277
          68    0.458208
          69    0.458141
          70    0.458075
          71    0.458009
          72    0.457939
          73    0.457872
          74    0.457802
          75    0.457735
          76    0.457667
          77      0.4576
          78    0.457532
          79    0.457466
          80    0.457399
          81    0.457334
          82    0.457267
          83      0.4572
          84    0.457131
          85    0.457064
          86    0.456999
          87    0.456932
          88    0.456868
          89    0.456799
          90    0.456735
          91    0.456668
          92    0.456603
          93    0.456538
          94    0.456472
          95    0.456407
          96    0.456342
          97    0.456278
          98     0.45621
          99    0.456144
         100    0.456077
           1     0.45597
           2    0.455894
           3    0.455817
           4    0.455741
           5    0.455663
           6    0.455587
           7    0.455511
           8    0.455435
           9     0.45536
          10    0.455284
          11    0.455212
          12    0.455136
          13     0.45506
          14    0.454984
          15    0.454907
          16     0.45483
          17    0.454755
          18    0.454681
          19    0.454608
          20    0.454533
          21    0.454459
          22    0.454385
          23     0.45431
          24    0.454235
          25    0.454159
          26    0.454086
          27    0.454013
          28    0.453939
          29    0.453864
          30    0.453789
          31    0.453715
          32    0.453641
          33    0.453568
          34    0.453494
          35     0.45342
          36    0.453346
          37    0.453274
          38    0.453203
          39    0.453129
          40    0.453056
          41    0.452982
          42    0.452911
          43    0.452838
          44    0.452766
          45    0.452693
          46     0.45262
          47    0.452546
          48    0.452473
          49    0.452403
          50    0.452331
          51    0.452258
          52    0.452186
          53    0.452117
          54    0.452045
          55    0.451972
          56    0.451902
          57    0.451831
          58    0.451762
          59    0.451692
          60    0.451619
          61    0.451551
          62     0.45148
          63    0.451412
          64    0.451343
          65    0.451273
          66    0.451204
          67    0.451133
          68    0.451064
          69    0.450992
          70    0.450922
          71    0.450855
          72    0.450784
          73    0.450713
          74    0.450643
          75    0.450574
          76    0.450507
          77    0.450439
          78    0.450371
          79    0.450302
          80    0.450232
          81    0.450164
          82    0.450095
          83    0.450027
          84    0.449959
          85    0.449892
          86    0.449823
          87    0.449755
          88    0.449685
          89    0.449616
          90    0.449545
          91     0.44948
          92    0.449412
          93    0.449345
          94    0.449277
          95    0.449209
          96    0.449141
          97    0.449073
          98    0.449006
          99    0.448939
         100    0.448871
           1    0.448763
           2    0.448684
           3    0.448607
           4    0.448528
           5     0.44845
           6    0.448372
           7    0.448294
           8    0.448215
           9    0.448137
          10    0.448058
          11    0.447983
          12    0.447904
          13    0.447826
          14    0.447751
          15    0.447676
          16    0.447599
          17    0.447521
          18    0.447446
          19     0.44737
          20    0.447294
          21    0.447216
          22    0.447141
          23    0.447063
          24    0.446986
          25    0.446909
          26    0.446833
          27    0.446757
          28    0.446678
          29    0.446603
          30    0.446528
          31    0.446453
          32    0.446377
          33    0.446303
          34    0.446227
          35    0.446149
          36    0.446073
          37    0.445999
          38    0.445924
          39    0.445848
          40    0.445773
          41    0.445698
          42    0.445622
          43    0.445546
          44    0.445472
          45    0.445396
          46    0.445321
          47    0.445249
          48    0.445176
          49    0.445103
          50    0.445028
          51    0.444956
          52    0.444883
          53    0.444811
          54    0.444738
          55    0.444664
          56    0.444589
          57    0.444518
          58    0.444444
          59    0.444371
          60    0.444298
          61    0.444224
          62    0.444151
          63    0.444079
          64    0.444008
          65    0.443937
          66    0.443865
          67    0.443793
          68    0.443721
          69    0.443649
          70    0.443576
          71      0.4435
          72    0.443428
          73    0.443358
          74    0.443286
          75    0.443216
          76    0.443145
          77    0.443073
          78    0.443003
          79    0.442933
          80    0.442861
          81     0.44279
          82     0.44272
          83    0.442649
          84    0.442577
          85    0.442506
          86    0.442435
          87    0.442366
          88    0.442296
          89    0.442225
          90    0.442156
          91    0.442084
          92    0.442014
          93    0.441947
          94    0.441876
          95    0.441806
          96    0.441734
          97    0.441666
          98    0.441596
          99    0.441527
         100    0.441455
           1    0.441342
           2    0.441264
           3    0.441184
