# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
        3.54497      0.0147875      0.0318924     0.00495721
        3.58693      0.0153393      0.0250229     0.00391455
        3.62888      0.0112562      0.0216019      0.0037438
        3.67083     0.00915942      0.0187327     0.00402063
        3.71278      0.0125804      0.0179878     0.00284203
        3.75474     0.00706269       0.018043     0.00327608
        3.79669     0.00827658      0.0140978     0.00194314
        3.83864      0.0075041      0.0105664     0.00124997
        3.88059     0.00496595      0.0106216     0.00238713
        3.92255     0.00518666       0.010594     0.00222118
         3.9645     0.00584879     0.00717304     0.00101217
        4.00645     0.00342099     0.00598673    0.000971006
         4.0484     0.00430382     0.00571084    0.000525453
        4.09035      0.0048556     0.00675921     0.00122288
        4.13231      0.0024278     0.00433141    0.000884881
        4.17426     0.00297957     0.00342099     0.00087678
      0.0209762    0.000551772    0.000463489    0.000163384
      0.0629285      0.0036417     0.00264851    0.000261146
       0.104881     0.00617985     0.00836487    0.000802118
       0.146833       0.012139      0.0137281    0.000867585
       0.188786      0.0211881      0.0245428     0.00183138
       0.230738      0.0352031      0.0352472     0.00201815
        0.27269      0.0525287      0.0434797     0.00250852
       0.314643      0.0734961      0.0607832     0.00368569
       0.356595      0.0946841        0.08345     0.00259676
       0.398547       0.101636       0.102056     0.00375366
         0.4405       0.136067       0.121434     0.00443362
       0.482452       0.135957         0.1426     0.00310399
       0.524404       0.161669       0.163369     0.00417608
       0.566357       0.183078       0.188772     0.00310888
       0.608309       0.237704       0.223468     0.00767598
       0.650261       0.250946       0.246708     0.00717182
       0.692214       0.261871       0.264807      0.0140959
       0.734166       0.288687        0.29021     0.00827787
       0.776119       0.331063       0.317093     0.00877915
       0.818071       0.343092        0.34883      0.0138459
       0.860023       0.349493       0.355386     0.00643007
       0.901976        0.39849       0.373793      0.0110251
       0.943928        0.40776       0.409901     0.00887165
        0.98588       0.432258        0.44261      0.0134113
        1.02783       0.433693        0.44219     0.00630247
        1.06979       0.478497       0.474039     0.00809461
        1.11174       0.500458       0.487546     0.00619088
        1.15369       0.505975       0.513634     0.00762386
        1.19564       0.500678       0.521668     0.00798658
